piRNA,seq
Alzheimer Disease,DOID:10652
Hepatocellular Carcinoma,DOID:684
Liver Cirrhosis,DOID:5082
Cancer,DOID:162
Glioblastoma,DOID:3068
Lung Adenocarcinoma,DOID:3910
Pre-Eclampsia,DOID:10591
Leprosy,DOID:1024
Cholangiocarcinoma,DOID:4947
Gallbladder Carcinoma,DOID:4948
Parkinson Disease,DOID:14330
Cardiovascular Disease,DOID:1287
Renal Cell Carcinoma,DOID:4450
Breast Cancer,DOID:1612
Rheumatoid Arthritis,DOID:7148
Chronic Obstructive Pulmonary Disease,DOID:3083
Chagas Disease,DOID:12140
Endometrial Cancer,DOID:1380
Prostate Cancer,DOID:10283
Testicular Germ Cell Carcinoma,DOID:5557
Lung Cancer,DOID:1324
Leukemia,DOID:1240
Male Infertility,DOID:12336
Amyotrophic Lateral Sclerosis,DOID:332
Gastric Cancer,DOID:10534
Malaria,DOID:12365
Heart Stroke,DOID:5844
